Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Buttons Page,Firefox 57.0,,2018-01-04 17:52:09,2018-01-04 17:53:25,1m - 15.228s,FAILED
,,,,,,
Test Cases/Buttons Page/Button Group,Firefox 57.0,,2018-01-04 17:52:10,2018-01-04 17:52:20,10.085s,PASSED
openBrowser,Firefox 57.0,,2018-01-04 17:52:11,2018-01-04 17:52:19,8.369s,PASSED
verifyTextNotPresent,Firefox 57.0,,2018-01-04 17:52:19,2018-01-04 17:52:19,0.172s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:52:19,2018-01-04 17:52:19,0.067s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:52:19,2018-01-04 17:52:19,0.042s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:52:19,2018-01-04 17:52:20,0.265s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:52:20,2018-01-04 17:52:20,0.049s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:52:20,2018-01-04 17:52:20,0.138s,PASSED
closeBrowser,Firefox 57.0,,2018-01-04 17:52:20,2018-01-04 17:52:20,0.248s,PASSED
,,,,,,
Test Cases/Buttons Page/Button-Menu-no-link,Firefox 57.0,,2018-01-04 17:52:20,2018-01-04 17:52:56,36.264s,FAILED
openBrowser,Firefox 57.0,,2018-01-04 17:52:20,2018-01-04 17:52:25,4.537s,PASSED
verifyTextNotPresent,Firefox 57.0,,2018-01-04 17:52:25,2018-01-04 17:52:25,0.061s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:52:25,2018-01-04 17:52:25,0.024s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:52:25,2018-01-04 17:52:25,0.016s,PASSED
click,Firefox 57.0,,2018-01-04 17:52:25,2018-01-04 17:52:25,0.260s,PASSED
verifyElementVisible,Firefox 57.0,,2018-01-04 17:52:25,2018-01-04 17:52:56,31.081s,FAILED
,,,,,,
Test Cases/Buttons Page/Composite Link with Image,Firefox 57.0,,2018-01-04 17:52:56,2018-01-04 17:53:01,5.150s,PASSED
openBrowser,Firefox 57.0,,2018-01-04 17:52:57,2018-01-04 17:53:01,4.389s,PASSED
verifyTextNotPresent,Firefox 57.0,,2018-01-04 17:53:01,2018-01-04 17:53:01,0.090s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:01,2018-01-04 17:53:01,0.041s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:01,2018-01-04 17:53:01,0.044s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:01,2018-01-04 17:53:01,0.021s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:01,2018-01-04 17:53:01,0.021s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:01,2018-01-04 17:53:01,0.036s,PASSED
closeBrowser,Firefox 57.0,,2018-01-04 17:53:01,2018-01-04 17:53:01,0.229s,PASSED
,,,,,,
Test Cases/Buttons Page/Image Button in Toolbar,Firefox 57.0,,2018-01-04 17:53:02,2018-01-04 17:53:07,5.180s,PASSED
openBrowser,Firefox 57.0,,2018-01-04 17:53:02,2018-01-04 17:53:06,4.559s,PASSED
verifyTextNotPresent,Firefox 57.0,,2018-01-04 17:53:06,2018-01-04 17:53:07,0.098s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:07,2018-01-04 17:53:07,0.018s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:07,2018-01-04 17:53:07,0.024s,PASSED
closeBrowser,Firefox 57.0,,2018-01-04 17:53:07,2018-01-04 17:53:07,0.177s,PASSED
,,,,,,
Test Cases/Buttons Page/Score Button-toolbar,Firefox 57.0,,2018-01-04 17:53:07,2018-01-04 17:53:13,5.954s,PASSED
openBrowser,Firefox 57.0,,2018-01-04 17:53:07,2018-01-04 17:53:12,5.472s,PASSED
verifyTextNotPresent,Firefox 57.0,,2018-01-04 17:53:12,2018-01-04 17:53:12,0.098s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:12,2018-01-04 17:53:13,0.020s,PASSED
