Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:13,2018-01-04 17:53:13,0.027s,PASSED
closeBrowser,Firefox 57.0,,2018-01-04 17:53:13,2018-01-04 17:53:13,0.202s,PASSED
,,,,,,
Test Cases/Buttons Page/Score Button,Firefox 57.0,,2018-01-04 17:53:13,2018-01-04 17:53:18,5.449s,PASSED
openBrowser,Firefox 57.0,,2018-01-04 17:53:13,2018-01-04 17:53:18,4.867s,PASSED
verifyTextNotPresent,Firefox 57.0,,2018-01-04 17:53:18,2018-01-04 17:53:18,0.098s,PASSED
verifyElementPresent,Firefox 57.0,"Verify if Button is present; Verify Button text as \""Button 1\""; Verify button link",2018-01-04 17:53:18,2018-01-04 17:53:18,0.022s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:18,2018-01-04 17:53:18,0.033s,PASSED
closeBrowser,Firefox 57.0,,2018-01-04 17:53:18,2018-01-04 17:53:18,0.230s,PASSED
,,,,,,
Test Cases/Buttons Page/Split Button Menu,Firefox 57.0,,2018-01-04 17:53:18,2018-01-04 17:53:25,6.238s,PASSED
openBrowser,Firefox 57.0,,2018-01-04 17:53:18,2018-01-04 17:53:23,4.359s,PASSED
verifyTextNotPresent,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.125s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.021s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.027s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.020s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.032s,PASSED
click,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.244s,PASSED
verifyElementVisible,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.053s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.045s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.038s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:23,0.036s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:23,2018-01-04 17:53:24,0.122s,PASSED
verifyElementPresent,Firefox 57.0,,2018-01-04 17:53:24,2018-01-04 17:53:24,0.061s,PASSED
verifyElementClickable,Firefox 57.0,,2018-01-04 17:53:24,2018-01-04 17:53:24,0.225s,PASSED
click,Firefox 57.0,,2018-01-04 17:53:24,2018-01-04 17:53:24,0.322s,PASSED
verifyElementNotVisible,Firefox 57.0,,2018-01-04 17:53:24,2018-01-04 17:53:24,0.065s,PASSED
closeBrowser,Firefox 57.0,,2018-01-04 17:53:24,2018-01-04 17:53:25,0.253s,PASSED
